Branch_ID,Branch_NM,Country_Name,,Last_History_Date
BR2191,Morris  Motors, Transnistria (Moldova),,05/02/2019
BR2201,Austin  Motors, Trinidad and Tobago,,06/02/2019
BR2211,Riley  Motors, Tunisia,,07/02/2019
BR2221,Wolseley  Motors, Turkey,,08/02/2019
BR2231,Standard  Motors, Turkmenistan,,09/02/2019
BR2241,Talbot  Motors, Turks and Caicos Islands (UK),,10/02/2019
BR2251,Das Motors, Tuvalu,,11/02/2019
BR2261,Ramani Motors, Uganda,,12/02/2019
BR2271,Deccan Motors, Ukraine,,13/02/2019
BR2281,Herald Motors, United Arab Emirates,,14/02/2019
BR2291,Zion Automobils, United Kingdom,,15/02/2019
BR2301,Atlantic Motor Company, United States of America,,16/02/2019
BR2311,2008 NRHP-listed, Uruguay,,17/02/2019
BR2321,Blankinship Motor Company Building, Uzbekistan,,18/02/2019
BR2331,Bohn Motor Company Automobile Dealership, Vanuatu,,19/02/2019
BR2341,Buick Automobile Company Building,  Vatican City,,20/02/2019
BR2351,Cadillac Automobile Company Building, Venezuela,,21/02/2019
BR2361,Casa de cadillac, Vietnam,,22/02/2019
BR2371,Cass Motor Sales," Virgin Islands, British (UK)",,23/02/2019
BR2381,Claremore Auto Dealership," Virgin Islands, United States (US)",,24/02/2019
BR2391,Clemens Automobile Company Building, Wallis and Futuna (France),,25/02/2019
BR2401,Colman Automotive Building, Western Sahara,,26/02/2019
BR2411,H Street Playhouse, Yemen,,27/02/2019
BR2421,Howard Motor Company Building, Zambia,,28/02/2019
BR2431,Hupmobile Building, Zimbabwe,,01/03/2019
BR2441,Jennings Ford Automobile Dealership,Nepal,,02/03/2019
BR2451,Jones Motor Company, United States of America,,03/03/2019
BR2461,Kindel Building, United States of America,,04/03/2019
BR0002,AC Cars Motors, Afghanistan,,05/03/2019
BR0012,Acura Motors, Akrotiri and Dhekelia (UK),,06/03/2019
BR0022,Aixam-Mega (including Arola) Motors, Åland Islands (Finland),,07/03/2019
BR0032,Alfa Romeo Motors, Albania,,08/03/2019
BR0042,Alpine Motors, Algeria,,09/03/2019
BR0052,Alvis Motors, American Samoa (US),,10/03/2019
BR0062,"AMC, Eagle Motors", Andorra,,11/03/2019
BR0072,Anadol Motors, Angola,,12/03/2019
BR0082,Ariel Motors, Anguilla (UK),,13/03/2019
BR0092,ARO Motors, Antigua and Barbuda,,14/03/2019
BR0102,Artega Motors, Argentina,,15/03/2019
BR0112,Asia Motors Motors, Armenia,,16/03/2019
BR0122,Aston Martin Motors, Artsakh,,17/03/2019
BR0132,Audi Motors, Aruba (Netherlands),,18/03/2019
BR0142,Autobianchi Motors, Australia,,19/03/2019
BR0152,Auto-Union Motors, Austria,,20/03/2019
BR0162,Auverland Motors, Azerbaijan,,21/03/2019
BR0172,Bentley Motors, Bahamas,,22/03/2019
BR0182,Bitter Motors, Bahrain,,23/03/2019
BR0192,BMW Motors, Bangladesh,,24/03/2019
BR0202,Bond Motors, Barbados,,25/03/2019
BR0212,Borgward (including Goliath and Lloyd) Motors, Belarus,,26/03/2019
BR0222,Bristol Motors, Belgium,,27/03/2019
BR0232,British Leyland Motors, Belize,,28/03/2019
BR0242,Austin-Healey Motors, Benin,,29/03/2019
BR0252,"Austin, Rover Motors", Bermuda (UK),,30/03/2019
BR0262,Bugatti Motors, Bhutan,,31/03/2019
BR0272,Buick Motors, Bolivia,,01/04/2019
BR0282,Bytom Motors, Bosnia and Herzegovina,,02/04/2019
BR0292,Cadillac Motors, Botswana,,03/04/2019
BR0302,Caterham Motors, Brazil,,04/04/2019
BR0312,Checker Motors, Brunei,,05/04/2019
BR0322,Chevrolet Motors, Bulgaria,,06/04/2019
BR0332,Chevrolet India Motors, Burkina Faso,,07/04/2019
BR0342,Chrysler Motors, Burundi,,08/04/2019
BR0352,Chrysler Europe Motors, Cambodia,,09/04/2019
BR0362,Citroën Motors, Cameroon,,10/04/2019
BR0372,Cizeta-Moroder Motors, Canada,,11/04/2019
BR0382,Dacia Motors, Cape Verde,,12/04/2019
BR0392,"Daewoo, Saehan, Chevrolet Korea Motors", Cayman Islands (UK),,13/04/2019
BR0402,DAF Motors, Central African Republic,,14/04/2019
BR0412,Daihatsu Motors, Chad,,15/04/2019
BR0422,Daimler Motors, Chile,,16/04/2019
BR0432,Datsun Motors," China, People's Republic of",,17/04/2019
BR0442,Delahaye Motors, Christmas Island (Australia),,18/04/2019
BR0452,DeLorean Motors, Cocos (Keeling) Islands (Australia),,19/04/2019
BR0462,DeSoto Motors, Colombia,,20/04/2019
BR0472,De Tomaso Motors, Comoros,,21/04/2019
BR0482,Dodge Motors," Congo, Democratic Republic of the",,22/04/2019
BR0492,Donkervoort Motors," Congo, Republic of the",,23/04/2019
BR0502,Edsel Motors, Cook Islands (New Zealand),,24/04/2019
BR0512,e.GO Mobile Motors, Costa Rica,,25/04/2019
BR0522,Eicher Polaris Motors, Côte d'Ivoire,,26/04/2019
BR0532,Elva Motors, Croatia,,27/04/2019
BR0542,Facel Vega Motors, Cuba,,28/04/2019
BR0552,Ferrari Motors, Curaçao (Netherlands),,29/04/2019
BR0562,Fiat Motors, Cyprus,,30/04/2019
BR0572,Fiat do Brasil Motors, Czech Republic,,01/05/2019
BR0582,Fiat India Motors, Denmark,,02/05/2019
BR0592,"Fisker, Karma Motors", Djibouti,,03/05/2019
BR0602,Ford America Motors, Dominica,,04/05/2019
BR0612,Ford Australia Motors, Dominican Republic,,05/05/2019
BR0622,Ford do Brasil Motors, East Timor,,06/05/2019
BR0632,Ford Europe Motors, Ecuador,,07/05/2019
BR0642,Ford India Motors, Egypt,,08/05/2019
BR0652,Freightliner Motors, El Salvador,,09/05/2019
BR0662,FSO Motors, Equatorial Guinea,,10/05/2019
BR0672,GAZ Motors, Eritrea,,11/05/2019
BR0682,Geo Motors, Estonia,,12/05/2019
BR0692,Gilbern Motors, Eswatini,,13/05/2019
BR0702,Ginetta Motors, Ethiopia,,14/05/2019
BR0712,Glas Motors, Falkland Islands (UK),,15/05/2019
BR0722,GMC Motors, Faroe Islands (Denmark),,16/05/2019
BR0732,GTA Spano Motors, Fiji,,17/05/2019
BR0742,Gumpert Motors, Finland,,18/05/2019
BR0752,Healey Motors, France,,19/05/2019
BR0762,Heinkel Motors, French Guiana (France),,20/05/2019
BR0772,Hennessey Motors, French Polynesia (France),,21/05/2019
BR0782,Hillman Motors, Gabon,,22/05/2019
BR0792,Hindustan Motors," Gambia, The",,23/05/2019
BR0802,Holden Motors, Georgia,,24/05/2019
BR0812,Honda Motors, Germany,,25/05/2019
BR0822,Honda India Motors, Ghana,,26/05/2019
BR0832,Hudson Motors, Gibraltar (UK),,27/05/2019
BR0842,Humber Motors, Greece,,28/05/2019
BR0852,Hummer Motors, Greenland (Denmark),,29/05/2019
BR0862,Hyundai Motors, Grenada,,30/05/2019
BR0872,"IFA (including Trabant, Wartburg, Barkas) Motors", Guam (US),,31/05/2019
BR0882,Infiniti Motors, Guatemala,,01/06/2019
BR0892,Innocenti Motors, Guernsey (UK),,02/06/2019
BR0902,Invicta Motors, Guinea,,03/06/2019
BR0912,Isdera Motors, Guinea-Bissau,,04/06/2019
BR0922,Iso Motors, Guyana,,05/06/2019
BR0932,Isotta Fraschini Motors, Haiti,,06/06/2019
BR0942,Isuzu Motors, Honduras,,07/06/2019
BR0952,Iveco Motors, Hungary,,08/06/2019
BR0962,Jaguar Motors, Iceland,,09/06/2019
BR0972,Jeep Motors, India,,10/06/2019
BR0982,Jensen Motors, Indonesia,,11/06/2019
BR0992,JPX Motors, Iran,,12/06/2019
BR1002,Kia Motors, Iraq,,13/06/2019
BR1012,Koenigsegg Motors, Ireland,,14/06/2019
BR1022,KTM Motors, Isle of Man (UK),,15/06/2019
BR1032,Lada Motors, Israel,,16/06/2019
BR1042,Lamborghini Motors, Italy,,17/06/2019
BR1052,Lancia Motors, Jamaica,,18/06/2019
BR1062,Land Rover Motors, Japan,,19/06/2019
BR1072,Lexus Motors, Jersey (UK),,20/06/2019
BR1082,Ligier Motors, Jordan,,21/06/2019
BR1092,Lincoln Motors, Kazakhstan,,22/06/2019
BR1102,Lotus Motors, Kenya,,23/06/2019
BR1112,LTI Motors, Kiribati,,24/06/2019
BR1122,LuAZ Motors," Korea, North",,25/06/2019
BR1132,Lynx Motors," Korea, South",,26/06/2019
BR1142,Mahindra Motors, Kosovo,,27/06/2019
BR1152,Marcos Motors, Kuwait,,28/06/2019
BR1162,Marlin Motors, Kyrgyzstan,,29/06/2019
BR1172,Maruti Motors, Laos,,30/06/2019
BR1182,Maserati Motors, Latvia,,01/07/2019
BR1192,Mastretta Motors, Lebanon,,02/07/2019
BR1202,"Matra (including Deutsch-Bonnet, René Bonnet) Motors", Lesotho,,03/07/2019
BR1212,Mazda Motors, Liberia,,04/07/2019
BR1222,Mazzanti Motors, Libya,,05/07/2019
BR1232,McLaren Motors, Liechtenstein,,06/07/2019
BR1242,Mercedes-Benz (including Maybach) Motors, Lithuania,,07/07/2019
BR1252,Mercury Motors, Luxembourg,,08/07/2019
BR1262,Merkur Motors, Madagascar,,09/07/2019
BR1272,Messerschmitt Motors, Malawi,,10/07/2019
BR1282,Mia Motors, Malaysia,,11/07/2019
BR1292,Micro Motors, Maldives,,12/07/2019
BR1302,Mini Motors, Mali,,13/07/2019
BR1312,Mitsubishi Motors, Malta,,14/07/2019
BR1322,Monica Motors, Marshall Islands,,15/07/2019
BR1332,Monteverdi Motors, Mauritania,,16/07/2019
BR1342,Morgan Motors, Mauritius,,17/07/2019
BR1352,Moskwitch Motors, Mayotte (France),,18/07/2019
BR1362,Nash Motors, Mexico,,19/07/2019
BR1372,Naza Motors, Federated States of Micronesia,,20/07/2019
BR1382,Nissan Motors, Moldova,,21/07/2019
BR1392,Nissan India Motors, Monaco,,22/07/2019
BR1402,Noble Motors, Mongolia,,23/07/2019
BR1412,NSU Motors, Montenegro,,24/07/2019
BR1422,Oldsmobile Motors, Montserrat (UK),,25/07/2019
BR1432,Oltcit Motors, Morocco,,26/07/2019
BR1442,Opel Motors, Mozambique,,27/07/2019
BR1452,Packard Motors, Myanmar,,28/07/2019
BR1462,Pagani Motors, Namibia,,29/07/2019
BR1472,Panhard Motors, Nauru,,30/07/2019
BR1482,Panoz Motors,   Nepal,,31/07/2019
BR1492,Panther Motors, Netherlands,,01/08/2019
BR1502,Peel Motors, New Caledonia (France),,02/08/2019
BR1512,Perodua Motors, New Zealand,,03/08/2019
BR1522,Peugeot Motors, Nicaragua,,04/08/2019
BR1532,PGO Motors, Niger,,05/08/2019
BR1542,Piaggio Motors, Nigeria,,06/08/2019
BR1552,Plymouth Motors, Niue (New Zealand),,07/08/2019
BR1562,Polestar Motors, Norfolk Island (Australia),,08/08/2019
BR1572,"Pontiac, Asüna Motors", North Macedonia,,09/08/2019
BR1582,Porsche Motors, Northern Cyprus,,10/08/2019
BR1592,Premier Motors, Northern Mariana Islands (US),,11/08/2019
BR1602,Proton Motors, Norway,,12/08/2019
BR1612,Puma Motors, Oman,,13/08/2019
BR1622,Ranger Motors, Pakistan,,14/08/2019
BR1632,Reliant Motors, Palau,,15/08/2019
BR1642,Renault Motors, State of Palestine,,16/08/2019
BR1652,Rivian Motors, Panama,,17/08/2019
BR1662,Rolls-Royce Motors, Papua New Guinea,,18/08/2019
BR1672,Saab Motors, Paraguay,,19/08/2019
BR1682,SAIC Motor Motors, Peru,,20/08/2019
BR1692,Saleen Motors, Philippines,,21/08/2019
BR1702,Samsung Motors, Pitcairn Islands (UK),,22/08/2019
BR1712,San Motors, Poland,,23/08/2019
BR1722,Santa Matilde Motors, Portugal,,24/08/2019
BR1732,Santana Motors, Puerto Rico (US),,25/08/2019
BR1742,Saturn Motors, Qatar,,26/08/2019
BR1752,Scion Motors, Romania,,27/08/2019
BR1762,Seat Motors, Russia,,28/08/2019
BR1772,Shelby SuperCars Motors, Rwanda,,29/08/2019
BR1782,Simca Motors, Saint Barthélemy (France),,30/08/2019
BR1792,Simca do Brasil Motors, Saint Helena (UK),,31/08/2019
BR1802,Singer Motors, Saint Kitts and Nevis,,01/09/2019
BR1812,Skoda Motors, Saint Lucia,,02/09/2019
BR1822,Smart Motors, Saint Martin (France),,03/09/2019
BR1832,Spyker Motors, Saint Pierre and Miquelon (France),,04/09/2019
BR1842,SsangYong Motors, Saint Vincent and the Grenadines,,05/09/2019
BR1852,Standard-Triumph Motors, Samoa,,06/09/2019
BR1862,Studebaker Motors, San Marino,,07/09/2019
BR1872,Subaru Motors, São Tomé and Príncipe,,08/09/2019
BR1882,Sunbeam Motors, Saudi Arabia,,09/09/2019
BR1892,Suzuki Motors, Senegal,,10/09/2019
BR1902,Tata Motors, Serbia,,11/09/2019
BR1912,Tatra Motors, Seychelles,,12/09/2019
BR1922,Tazzari Motors, Sierra Leone,,13/09/2019
BR1932,Tesla Motors, Singapore,,14/09/2019
BR1942,Tornado Motors, Sint Maarten (Netherlands),,15/09/2019
BR1952,Toyota Motors, Slovakia,,16/09/2019
BR1962,Toyota India Motors, Slovenia,,17/09/2019
BR1972,Turner Motors, Solomon Islands,,18/09/2019
BR1982,TVR Motors, Somalia,,19/09/2019
BR1992,UAZ Motors, Somaliland,,20/09/2019
BR2002,Vauxhall Motors, South Africa,,21/09/2019
BR2012,Venturi Motors, South Georgia and the South Sandwich Islands (UK),,22/09/2019
BR2022,Volkswagen Motors, South Ossetia,,23/09/2019
BR2032,Volkswagen do Brasil Motors, South Sudan,,24/09/2019
BR2042,Volkswagen South Africa Motors, Spain,,25/09/2019
BR2052,Volvo Motors, Sri Lanka,,26/09/2019
BR2062,Westfield Motors, Sudan,,27/09/2019
BR2072,Wiesmann Motors, Suriname,,28/09/2019
BR2082,Zastava Motors, Svalbard and Jan Mayen (Norway),,29/09/2019
BR2092,ZAZ Motors, Sweden,,30/09/2019
BR2102,ZIL Motors,  Switzerland,,01/10/2019
BR2112,Audi Motors, Syria,,02/10/2019
BR2122,DKW Motors, Taiwan,,03/10/2019
BR2132,Horch Motors, Tajikistan,,04/10/2019
BR2142,Wanderer Motors, Tanzania,,05/10/2019
BR2152,Maybach  Motors, Thailand,,06/10/2019
BR2162,Izh  Motors, Togo,,07/10/2019
BR2172,Lagonda  Motors, Tokelau (New Zealand),,08/10/2019
BR2182,MG  Motors, Tonga,,09/10/2019
BR2192,Morris  Motors, Transnistria (Moldova),,10/10/2019
BR2202,Austin  Motors, Trinidad and Tobago,,11/10/2019
BR2212,Riley  Motors, Tunisia,,12/10/2019
BR2222,Wolseley  Motors, Turkey,,13/10/2019
BR2232,Standard  Motors, Turkmenistan,,14/10/2019
BR2242,Talbot  Motors, Turks and Caicos Islands (UK),,15/10/2019
BR2252,Das Motors, Tuvalu,,16/10/2019
BR2262,Ramani Motors, Uganda,,17/10/2019
BR2272,Deccan Motors, Ukraine,,18/10/2019
BR2282,Herald Motors, United Arab Emirates,,19/10/2019
BR2292,Zion Automobils, United Kingdom,,20/10/2019
BR2302,Atlantic Motor Company, United States of America,,21/10/2019
BR2312,2008 NRHP-listed, Uruguay,,22/10/2019
BR2322,Blankinship Motor Company Building, Uzbekistan,,23/10/2019
